sample_id,source_image_id,sha256,phash,width,height,format,file_size,class,split,dataset_version,transformation_version,created_at
scene_0024_w00,scene_0024,3b54747b87707fcb55c9fca4f2b08b15c2a54c13424237541106a31e08a7f688,1011000000110001001100110010101100100011001100110011001100101111,148,334,JPEG,6468,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0025_w00,scene_0025,075e65292b3b495a5580fa6bb4a30921093fb5de5c6f345f316bdb5b9e7abc8f,1111000000110001001000110010101100100011001100110011001100110011,129,357,JPEG,6143,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0025_w01,scene_0025,6f5a9163c6808c5818a5578b568b620aa3cd2162b94d4e899be45cb798210ef5,0111000111110000110011001100100011101000001100110011001100110011,116,333,JPEG,7491,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0026_w00,scene_0026,f6a9fce0b581a935c6d724d05e59494e4d01806de6982728926b5197ceda3a6e,1110110000101011001010110010101100100011001100110011001100101111,164,375,JPEG,6846,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0026_w01,scene_0026,99944b474065a93bc6200f22352c2795473cd4d38fafedac425963a87cb9c62f,1011011000101011011010010110100100101011001100110011001100111011,121,317,JPEG,8250,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0026_w02,scene_0026,20c791975206b2d96293dfebf630e18c22d9024793cf2e1a70265021b1dd92e9,1100010000000011001010110010101100110011001100110011001100001011,125,292,JPEG,4838,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0027_w00,scene_0027,07e56802635a9d5ab9aa831251f1b44585efbd8a9c700b2be35fc5a40b61bba1,1111000001110001001000110010101100110011001100110011001100001011,125,255,JPEG,5813,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0028_w00,scene_0028,1633152377d291bbe6f6cd432beeba65eefe6a9998a2c06f625e7fe60da54ffd,0111000001110001001001110010001100110011001100110011001100001101,145,268,JPEG,6946,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0029_w00,scene_0029,c375a2a10d37da1b42b9db9a03c4f255e9802c9e24a1004fd783708cd00f4b89,0010111000101111011010010110100101101001001100110011001100110011,173,374,JPEG,10712,FULL_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0030_w00,scene_0030,30bd72319252a82484dc05e1e3f2498c034559fbb73666be76b67da2e8afacdd,1111000001101001011010010110100101101001001100110011001100110011,101,326,JPEG,8334,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0030_w01,scene_0030,ea939b828ae0b0fc913d98aa9e3ee270c23d39578a59324a0449260cf14619b4,1111000000110011001010110010101100110011001100110011001100110011,105,269,JPEG,5484,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0031_w00,scene_0031,cba7ae44d10a0ed196870a524eb0d2be03d0e59b5748af80a14dd4e3bee85504,1111000100100001001000110010101100110011001100110011001100110011,100,387,JPEG,6702,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0031_w01,scene_0031,906b92aca85105f48b5c1d297230f895ecdbf2bd486814ac86b1f473ca5e15a8,1110101100101011001000110010101100100011001100110011001100001011,168,310,JPEG,6639,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0031_w02,scene_0031,ae2cd839778d949888646af410d12c4c045c8144e90beee51e469bf36e2e7693,1111000000110011001010110010101100110011001100110011001100001011,136,343,JPEG,6678,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0032_w00,scene_0032,0f84bb162c349bd9f819906888f5f284a9b902695fa14604761d4a71eb9efe43,0111000001101001011010010110100101101001001100110011001100010011,102,332,JPEG,8916,PARTIAL_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0033_w00,scene_0033,d3b73426056c6755ef5c56119fc7b5da3c007ccbe3208b4ccc538885edff03b2,0100110101001101001010110010101100110011001100110011001100110011,104,287,JPEG,6036,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0033_w01,scene_0033,130a1d843ed84906cd07bc55c0f988d8f2bb60b47717475ee17245e66668a76e,1001011000001111001010110010101100110011001100110011001100110011,126,281,JPEG,5255,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0033_w02,scene_0033,478f346b9f006a00521228a6315bd9d1d7f43af59c309afb3db21296c48615da,1000101100001111001010110010101100110011001100110011001100110011,169,251,JPEG,5796,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0034_w00,scene_0034,185f44c37c6b2cb1c22fd394f142ae44bd6380c6674a21da73906a111c44ab47,1000111000010111001010110010101100101011001100110010101100101011,137,279,JPEG,6391,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0034_w01,scene_0034,207eceaa3403924c50ade83829b70a7869fab8c12cc7ecf2cfd53834b382929d,1100111001010110001100110010101100110011001100110011001100110011,103,266,JPEG,6139,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0035_w00,scene_0035,1df2186714baf59bbedba7d7b2cdf406f4b8393eb642b5397472a51e5011eb45,1000011000010111011010010110100100101011001100110011001100110011,141,286,JPEG,8974,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0035_w01,scene_0035,c55d250e1913490575e985a5cc0a0da27086892602e5c31c3e650d8f7d59fd1d,1001011000001111001010110010101100100011001100110011001100111011,160,242,JPEG,7324,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0036_w00,scene_0036,b66c9b9e0c4fb0d8c0c824465feb8d7aa06b8529320c57111931a6fc8e6ff163,1111001001100011011010010110100100101011001100110011001100010011,116,381,JPEG,10059,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0037_w00,scene_0037,a6d7cbbf4f1ba9be7a7f77f089e3060e95c5be84d60001df99990f3a2ba78aa3,1000110000101101011010010110100100101001001100110010101100101101,164,355,JPEG,9779,PARTIAL_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0038_w00,scene_0038,59dac39fa2754df76a244ce3c19736838a70c9e7d96d342f3af7c740ea9b39e6,1000111000001111001010110010101100101011001100110011001100110011,148,364,JPEG,9442,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0039_w00,scene_0039,30ec7e7bc5f9e25685015454a0255c17288adaa5d126c8a1717479623ee6a65d,0111000101110001111010001110100001101001001100110011001100001011,160,314,JPEG,9622,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0040_w00,scene_0040,92677f42c2c84d7d819e1956753fd21eb7b2c584dac5638a399ee2510a77594e,0111000111100000110011001100100011101000001100110011001100110011,113,300,JPEG,6429,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0041_w00,scene_0041,fe6c876d7cc2a9933bf6c010ca92d537b6b05621087f757bb3a9b32d1ce7f041,1000100100001001011010010110100101101001001100110011001100001011,139,390,JPEG,10396,FULL_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0041_w01,scene_0041,ef98bc59764c22bd5cbf6d3077a0b89ae3f711b3e4d899d7b5a2f26163004643,1000011000001011011010010110100100101011001100110011001100100111,129,367,JPEG,10200,PARTIAL_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0042_w00,scene_0042,cfa63fc58659e8939b56e3cdd1c2cfee0681e410ce23b7ec1230a1ec3ce42210,1111000001110001001000110010101100100011001100110011001100001011,138,322,JPEG,6500,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0042_w01,scene_0042,060fd292c02c58e102c679a8a751942f203e122fb803d39de206919707009024,1111000111110000110011001100110011101000001100110011001100110011,138,375,JPEG,9719,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0042_w02,scene_0042,ba132b407f7b1d4395aa6a8275cd852a33b68eb0ccef48202f7082028af330a4,0111000111110001110011001100110011101000001100110011001100001011,141,347,JPEG,10071,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0043_w00,scene_0043,63dfaa31d42fe0ab37532c0601e9b9e98dea0bab6db874897648964f3f2f5b15,1111000001110001000110110010101100110011001100110011001100001011,162,282,JPEG,8839,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0043_w01,scene_0043,75f90795958ed5e208d6c3e9fbf5b6ea5e3525cce1913559ac0d8862821cab4f,1111000000110001001000110010001100110011001100110011001100001101,134,279,JPEG,7058,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0043_w02,scene_0043,770922a226568eab07ead7c4fc4de575182dbff6ed35d3fb25e540a94a24dbcd,0111000001101001111010001110100000101011001100110011001100110011,141,258,JPEG,7987,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0044_w00,scene_0044,a76cb64a11e0fe867bc06800cf048e6d3bebd7119e214a09391ec7d305a777bd,1000011000001111001010110010101100110011001100110011001100101011,165,327,JPEG,9351,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0045_w00,scene_0045,82a83eb0c2d946cb2dabc21df33acbe51fae2693d7f40e7d68cfccc8bb17f2c8,1000011010001111011010110110101100101011001100110011001100110011,116,269,JPEG,9650,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0045_w01,scene_0045,283ec669deb145ea663e8f0cd79e685373ba97bd650cc4c4141408a7c69e6499,1001011000000111001010110010101100100011001100110011001100100011,162,330,JPEG,9709,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0046_w00,scene_0046,28ca08d6e56cebe52377a6965cbd079d15ab5f05930b2b35748206950a85f5af,1001011000000111001010110010101100110011001100110011001100010111,124,257,JPEG,5101,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0047_w00,scene_0047,bef1255bfa7d7de66701a7b44819f3a5d3afbf88d70832a142ad740b33218107,1111000000110011001010110010101100100011001100110011001100001111,160,257,JPEG,6828,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0048_w00,scene_0048,f478df5c87f01a377d400126e230e7356b68438f10eafa76153e47afaf1c07c9,1111000001110001000101110010001100110011001100110011001100110011,171,393,JPEG,8828,NO_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0049_w00,scene_0049,017bd7949ee37670ebbaeea7265b7d11ae660488d0a9f932ca76c799076d7bf3,0010110000101111001010110010101100110011001100110011001100101011,160,244,JPEG,6874,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0050_w00,scene_0050,3ad5260822bddaa96de5fc48375d3d89f986725cc2a771856bb4a82b8d7ec763,1100010000001101001010110010101100110011001100110011001100110111,112,371,JPEG,6385,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0051_w00,scene_0051,44120147269c388ac8f3e1e5f2b4dfa7df2d17fe01f6bbba2690b2dfdb5a0ce1,1111000000100011001000110010101100110011001100110011001100110011,139,319,JPEG,6265,PARTIAL_PPE,test,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0051_w01,scene_0051,f25175b24c35ccea14d5e4c39389733e390b57aebd2276407341dda03385caa0,1111000000110011001010110010101100110011001100110011001100001011,141,290,JPEG,6568,NO_PPE,test,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0052_w00,scene_0052,8ff7b365ce0103d63758e55ca71b1979d8e5b133200b2585c2d691dd976a0c4a,0111000001110011001010110010101100110011001100110011001100001011,156,349,JPEG,7688,NO_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0053_w00,scene_0053,1f3ac8a034f3a8d8d13e3e827fb53d6ef09f2947f20707a0980d19f4519fa791,0111000101101001111010011110100001101001001100110011001100001101,126,364,JPEG,10171,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0054_w00,scene_0054,1324821045e95bdbc1e5ea9c400a4a6c15085894b72b965b84e20dbcebfa927b,0100110101001101001010110010101100101011001100110011001100101011,171,345,JPEG,13303,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0055_w00,scene_0055,fad6de80a3e21fed17d80a860fba8f1fef0e6a4ca8262f2465da9af4dda8b35d,0011000101001000111010001100100001101001001100110011001100001011,128,392,JPEG,9600,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0056_w00,scene_0056,1cf0de70b1f4d2918e02d0e997dd5f2afa4fdc41125df016163862c4fb1c208c,0111000101101001111010001110100001101001001100110011001100110011,133,383,JPEG,10245,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0057_w00,scene_0057,33c280b543caaf04e70626e34240bcfb3c6fa5d924964cdbcfd0fff2fc0ac846,0100111001001111011010010110100101101001001100110011001100001011,167,268,JPEG,8696,PARTIAL_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0058_w00,scene_0058,ee85b446d9b2d910956489145f3acbfa42e06b91f31887909778f4df61286c18,0111000111110000111010001110100011101000001100110011001100001111,116,379,JPEG,9075,PARTIAL_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0059_w00,scene_0059,a10048c023b5b01d949ad7b7e22d3f85de4b209af558059b385419afe6f41218,1111000001110001000000110010101100100011001100110011001100001111,139,275,JPEG,5902,NO_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0059_w01,scene_0059,27fdf1918f800914eca0e25c62ca39dd12d110876c73f4dc81a96cc902198b5d,1111000001110001001001110010001100110011001100110011001100110011,110,337,JPEG,4919,NO_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0059_w02,scene_0059,31454adcbcc0f14aa6c6303600c3dc6faad2a64dd6a93a4a48bfee4cd237e433,1111000001110001000100110010101100110011001100110011001100110011,119,346,JPEG,5899,NO_PPE,val,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0060_w00,scene_0060,9f09c0871f6196080c8289bd0d0c1acbadd605041b1f20bf9aa4172301c7d2c7,1111000000110001001001110010001100110011001100110011001100110011,164,376,JPEG,7325,NO_PPE,test,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0060_w01,scene_0060,c13375d154afecd27eef6ee5a1f050ef80953e98a2b8d9140bf4b3ab6fb66587,1111000000110001001000110010101100110011001100110011001100001111,105,319,JPEG,6652,NO_PPE,test,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0060_w02,scene_0060,12527291978ff615ca6dc4960811f4653e0ebc86875c6808aaa1412b2189de95,1111000001110001001000110010101100110011001100110011001100001011,104,333,JPEG,5456,PARTIAL_PPE,test,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0061_w00,scene_0061,c0bf597075debc62088ec6ee8d0648eaa95c6ebc7e9a2e3a7c4661f03c941606,1000100000001011001010110110101100101011001100110011001100110011,146,389,JPEG,11379,FULL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0061_w01,scene_0061,a9339c303495b2ac3524fd471ec045947b5dbce6ccf88d2f682653bec1c93080,0010011000101111001010110110100100101011001100110011001100100111,138,345,JPEG,10055,PARTIAL_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0061_w02,scene_0061,f0320df70b8efa9cedb2ba9f99b784e692cf4ce41df8caacd63da383090e1e93,1000111000001111001010110010101100110011001100110011001100010011,104,323,JPEG,5764,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
scene_0062_w00,scene_0062,f11c57650519d2f5c06b1db84792f7e0b4243a023f8a117e77551c84b5fb0c5a,1111000001110001000001110010101100110011001100110011001100110011,135,247,JPEG,4944,NO_PPE,train,1.0.0,1.0.0,2026-09-13T23:02:03.862057+00:00
